City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Champerico,14.3,-91.9167,64.0,93,0,7.07,GT,1612662661
Lüderitz,-26.6481,15.1594,67.42,70,0,22.7,NA,1612662656
Tokonou,9.65,-9.7833,71.2,23,22,3.69,GN,1612662732
Tsimmerbude,54.675,20.1347,21.99,85,0,2.24,RU,1612662733
Chadiza,-14.0678,32.4392,64.38,98,100,1.07,ZM,1612662733
Vanimo,-2.6741,141.3028,82.62,78,99,4.07,PG,1612662735
Barrow,71.2906,-156.7887,-5.8,77,90,14.97,US,1612662629
Faanui,-16.4833,-151.75,83.08,65,0,10.07,PF,1612662736
Nome,64.5011,-165.4064,17.6,73,90,3.44,US,1612662691
Shingū,33.7333,135.9833,58.3,41,0,6.4,JP,1612662480
Thompson,55.7435,-97.8558,-27.4,68,40,12.66,CA,1612662465
La Libertad,-2.2333,-80.9,77.52,80,36,8.16,EC,1612662738
Arawa,-6.2132,155.5367,89.87,58,85,5.66,PG,1612662739
Morón,-34.6534,-58.6198,81.0,54,0,3.29,AR,1612662709
Soyo,-6.1349,12.3689,79.54,85,100,8.25,AO,1612662740
Puerto Ayora,-0.7393,-90.3518,77.0,94,66,6.76,EC,1612662442
Port Elizabeth,-33.918,25.5701,63.0,89,4,1.01,ZA,1612662466
Marquette,46.5333,-87.6335,0.0,65,8,13.51,US,1612662556
Springdale,36.1867,-94.1288,37.4,100,90,3.44,US,1612662742
Hermanus,-34.4187,19.2345,66.99,94,98,4.76,ZA,1612662743
Dukat,62.55,155.55,-2.15,88,100,8.63,RU,1612662743
Kudahuvadhoo,2.6708,72.8944,80.8,78,12,14.14,MV,1612662744
Port Hardy,50.6996,-127.4199,42.8,75,75,8.05,CA,1612662458
Punta Arenas,-53.15,-70.9167,51.8,66,0,17.27,CL,1612662724
Opuwo,-18.0607,13.84,70.09,44,91,2.86,NA,1612662479
Saskylakh,71.9167,114.0833,-42.0,78,24,7.58,RU,1612662745
Yulara,-25.2406,130.9889,86.0,23,1,17.27,AU,1612662448
Hilo,19.7297,-155.09,78.8,53,75,5.75,US,1612662438
Kahramanmaraş Province,38.0,37.0,39.2,81,0,5.75,TR,1612662564
Kaitangata,-46.2817,169.8464,66.0,75,2,8.01,NZ,1612662632
Tuktoyaktuk,69.4541,-133.0374,-16.6,76,90,19.57,CA,1612662503
Saint-Philippe,-21.3585,55.7679,78.8,69,40,6.91,RE,1612662650
Mareeba,-17.0,145.4333,89.01,74,99,5.75,AU,1612662746
San Patricio,28.017,-97.5169,64.4,55,1,8.75,US,1612662510
Ancud,-41.8697,-73.8203,62.6,51,0,11.5,CL,1612662746
Mandurah,-32.55,115.7,66.0,94,90,20.71,AU,1612662306
Fukuechō,32.6881,128.8419,57.45,61,0,17.49,JP,1612662746
Saint Paul Harbor,57.79,-152.4072,37.4,65,1,10.36,US,1612662662
Pevek,69.7008,170.3133,-6.57,87,0,4.9,RU,1612662746
Syas'stroy,60.1367,32.5691,13.15,96,97,6.38,RU,1612662746
Tafresh,34.692,50.013,39.47,90,100,2.73,IR,1612662746
Carnarvon,-24.8667,113.6333,84.2,100,40,13.8,AU,1612662746
Sainte-Claire,46.6006,-70.8649,21.0,73,39,7.0,CA,1612662747
Ushuaia,-54.8,-68.3,50.0,76,75,12.66,AR,1612662747
Torbay,47.6666,-52.7314,42.8,93,75,24.16,CA,1612662747
Belmonte,-15.8631,-38.8828,78.8,83,75,6.91,BR,1612662452
Storforshei,66.4043,14.5233,10.87,87,0,2.35,NO,1612662747
Mezhdurechensk,53.6942,88.0603,21.02,95,37,3.96,RU,1612662747
Kloulklubed,7.0419,134.2556,77.0,94,90,14.97,PW,1612662457
Salalah,17.0151,54.0924,73.4,68,75,2.3,OM,1612662488
Alyangula,-13.8483,136.4192,82.4,74,90,17.27,AU,1612662466
Collie,-33.3667,116.15,59.0,89,100,4.0,AU,1612662748
Norman Wells,65.282,-126.8329,-27.4,68,75,2.3,CA,1612662748
Tasiilaq,65.6145,-37.6368,33.8,55,82,28.77,GL,1612662748
Kodinsk,58.6881,99.1844,17.83,96,100,6.85,RU,1612662748
Jamestown,42.097,-79.2353,17.6,49,1,6.91,US,1612662748
Vestmannaeyjar,63.4427,-20.2734,38.37,76,0,27.38,IS,1612662748
Bredasdorp,-34.5322,20.0403,66.2,88,98,3.44,ZA,1612662464
Cockburn Town,21.4612,-71.1419,77.47,78,0,23.31,TC,1612662669
East London,-33.0153,27.9116,72.7,87,75,17.58,ZA,1612662749
Rikitea,-23.1203,-134.9692,78.78,69,73,10.56,PF,1612662749
Albany,42.6001,-73.9662,25.0,48,0,2.01,US,1612662465
Port Alfred,-33.5906,26.891,68.0,87,33,5.01,ZA,1612662632
Namatanai,-3.6667,152.4333,86.16,63,86,6.6,PG,1612662490
Mataura,-46.1927,168.8643,81.88,46,13,1.63,NZ,1612662749
Bāsudebpur,21.1353,86.7386,63.43,69,0,9.57,IN,1612662749
Vaini,-21.2,-175.2,84.2,84,75,9.22,TO,1612662467
San Jerónimo,-11.9472,-75.2829,51.64,74,88,3.33,PE,1612662750
Kefamenanu,-9.4467,124.4781,83.08,66,99,2.19,ID,1612662750
Hobart,-42.8794,147.3294,66.0,63,75,17.27,AU,1612662750
Kapaa,22.0752,-159.319,73.99,49,40,6.91,US,1612662750
San Cristobal,7.7669,-72.225,66.36,90,100,1.21,VE,1612662750
Progreso,21.2833,-89.6667,77.0,73,20,6.26,MX,1612662750
Lebu,-37.6167,-73.65,57.81,93,24,1.86,CL,1612662464
Talaya,61.3833,152.75,-6.61,86,100,6.2,RU,1612662750
Yanam,16.7333,82.2167,68.0,88,86,9.22,IN,1612662489
Tolland,41.8501,-72.3495,30.99,63,1,5.19,US,1612662751
Ribeira Grande,38.5167,-28.7,61.18,89,94,21.59,PT,1612662673
Korla,41.7597,86.1469,27.1,85,33,2.51,CN,1612662338
Cosalá,24.4125,-106.6908,59.0,91,21,1.01,MX,1612662751
Maple Creek,49.9168,-109.4848,-7.6,71,100,4.61,CA,1612662751
Bengkulu,-3.8004,102.2655,83.34,63,84,4.12,ID,1612662751
Mahébourg,-20.4081,57.7,75.0,86,0,1.99,MU,1612662751
Bilibino,68.0546,166.4372,-3.21,79,0,3.6,RU,1612662520
Ulladulla,-35.35,150.4667,77.0,50,75,1.14,AU,1612662752
New Norfolk,-42.7826,147.0587,66.0,46,39,4.0,AU,1612662752
Qaanaaq,77.484,-69.3632,10.69,87,100,7.56,GL,1612662752
Cape Town,-33.9258,18.4232,70.0,83,20,11.5,ZA,1612662444
Kolokani,13.5728,-8.0339,75.72,20,99,12.84,ML,1612662752
St. George's,12.0564,-61.7485,78.8,73,20,11.5,GD,1612662752
Atuona,-9.8,-139.0333,79.99,80,73,18.21,PF,1612662635
Necochea,-38.5473,-58.7368,60.01,82,2,11.56,AR,1612662553
Pangnirtung,66.1451,-65.7125,23.5,80,76,3.53,CA,1612662687
Kruisfontein,-34.0033,24.7314,63.0,90,1,8.34,ZA,1612662753
Nikolskoye,59.7035,30.7861,10.4,85,75,15.66,RU,1612662753
Beyneu,45.3167,55.2,32.79,85,100,9.91,KZ,1612662753
Gigmoto,13.7796,124.39,81.66,77,84,13.2,PH,1612662753
Clyde River,70.4692,-68.5914,-7.6,77,90,2.3,CA,1612662482
Busselton,-33.65,115.3333,62.01,95,100,1.99,AU,1612662624
Mathbaria,22.2876,89.9593,64.72,57,3,9.75,BD,1612662753
Imbituba,-28.24,-48.6703,73.4,68,0,3.44,BR,1612662463
Ejea de los Caballeros,42.1263,-1.1372,46.99,81,20,10.36,ES,1612662753
Xining,36.6167,101.7667,25.27,63,97,1.97,CN,1612662754
Cabo San Lucas,22.8909,-109.9124,69.8,60,20,8.05,MX,1612662754
Bowen,-20.0167,148.2333,87.8,66,40,6.91,AU,1612662540
Londoko,49.0333,131.9833,-3.46,82,87,3.29,RU,1612662754
Verkhovazh'ye,60.7472,42.0465,-10.32,89,100,8.43,RU,1612662754
Chokurdakh,70.6333,147.9167,-21.44,86,95,4.14,RU,1612662466
Kaka,37.3482,59.6143,50.49,74,100,8.34,TM,1612662477
Avarua,-21.2078,-159.775,86.0,66,20,11.5,CK,1612662504
Nehe,48.4833,124.8333,-2.56,86,4,6.98,CN,1612662754
Hamilton,39.1834,-84.5333,30.2,59,1,6.91,US,1612662357
Half Moon Bay,37.4636,-122.4286,61.0,71,1,8.05,US,1612662676
Japura,-0.3167,102.35,81.34,70,74,3.53,ID,1612662755
Grenville,12.1167,-61.6167,78.8,73,20,11.5,GD,1612662661
Tamandaré,-8.7597,-35.1047,77.7,84,79,7.78,BR,1612662755
Chui,-33.6971,-53.4616,66.58,90,0,8.77,UY,1612662456
Lorengau,-2.0226,147.2712,86.38,66,100,5.55,PG,1612662755
Dudinka,69.4058,86.1778,-34.96,80,0,9.06,RU,1612662755
Port Shepstone,-30.7414,30.455,73.89,86,100,3.22,ZA,1612662741
Utica,43.1009,-75.2327,19.4,58,1,5.5,US,1612662508
Maragogi,-9.0122,-35.2225,77.67,84,4,8.84,BR,1612662479
Mokhotlong,-29.2894,29.0675,54.43,78,100,0.63,LS,1612662756
Sal Rei,16.1833,-22.9167,68.0,60,90,19.57,CV,1612662695
Tuatapere,-46.1333,167.6833,71.83,47,10,6.04,NZ,1612662756
Lajas,18.05,-67.0593,77.0,83,100,1.01,PR,1612662756
Erdaojiang,41.7764,126.0319,15.85,86,0,1.86,CN,1612662692
Aleksandrovsk,59.158,57.5624,3.99,75,100,7.4,RU,1612662756
Santiago,-33.4569,-70.6483,70.0,82,0,9.22,CL,1612662705
Sioux Lookout,50.1001,-91.917,-13.0,64,90,11.5,CA,1612662700
Mar del Plata,-38.0023,-57.5575,64.0,77,20,11.5,AR,1612662469
Nazilli,37.9163,28.3223,51.73,65,0,2.15,TR,1612662757
Hong Kong,22.2855,114.1577,73.0,46,0,11.01,HK,1612662757
Broome,42.2506,-75.833,24.8,33,1,3.44,US,1612662520
Esperance,-33.8667,121.9,60.8,94,75,12.66,AU,1612662685
Wasilla,61.5814,-149.4394,17.6,86,1,1.72,US,1612662629
Khovd,48.0056,91.6419,8.02,91,0,1.54,MN,1612662757
Jüterbog,51.9833,13.0833,26.01,51,100,8.01,DE,1612662757
Ambulu,-8.345,113.6058,84.38,70,39,0.49,ID,1612662758
Karlstad,59.3793,13.5036,15.8,92,20,8.05,SE,1612662758
Horta,38.5333,-28.6333,60.19,90,97,22.28,PT,1612662758
Praia,14.9215,-23.5087,68.0,64,75,20.71,CV,1612662465
Sayán,-11.1361,-77.1933,71.65,62,100,3.06,PE,1612662758
Rostov,57.1914,39.4139,1.4,71,75,11.18,RU,1612662758
Atasū,48.6814,71.6433,20.16,95,100,21.39,KZ,1612662587
Corralillo,22.9819,-80.5856,74.82,84,0,9.4,CU,1612662758
Chernushka,56.5072,56.0766,-2.18,90,100,17.07,RU,1612662758
Sena Madureira,-9.0656,-68.6569,74.95,94,96,1.74,BR,1612662759
Malanje,-9.5402,16.341,64.83,98,100,5.01,AO,1612662759
Klaksvík,62.2266,-6.589,35.6,60,40,17.27,FO,1612662759
Mnogovershinnyy,53.9353,139.9242,-0.18,93,100,7.63,RU,1612662759
Luba,3.4568,8.5547,80.6,89,20,9.22,GQ,1612662759
Castro,-24.7911,-50.0119,61.34,92,44,10.78,BR,1612662759
Yellowknife,62.456,-114.3525,-40.0,74,1,3.44,CA,1612662759
Bethel,41.3712,-73.414,35.01,59,1,4.74,US,1612662569
Santa Rosa,14.3122,121.1114,87.01,78,20,2.3,PH,1612662759
Maniitsoq,65.4167,-52.9,30.43,81,0,20.98,GL,1612662697
Phan Thiet,10.9333,108.1,81.23,58,96,4.56,VN,1612662760
Fortuna,40.5982,-124.1573,48.99,93,90,11.5,US,1612662678
Presidencia Roque Sáenz Peña,-26.7852,-60.4388,71.55,49,0,5.55,AR,1612662461
Natal,-5.795,-35.2094,78.8,83,40,4.61,BR,1612662747
Los Llanos de Aridane,28.6585,-17.9182,59.0,72,0,5.75,ES,1612662528
Jasper,37.2001,-94.3502,26.6,74,90,13.8,US,1612662471
Katsina,12.9894,7.6006,64.27,25,100,10.09,NG,1612662760
Longyearbyen,78.2186,15.6401,15.8,86,75,12.66,SJ,1612662637
Labuan,5.2767,115.2417,82.4,83,20,2.3,MY,1612662472
Sibolga,1.7427,98.7792,83.26,62,43,1.28,ID,1612662761
Marawi,7.9986,124.2928,80.01,82,74,3.0,PH,1612662761
La Baule-Escoublac,47.2922,-2.364,37.4,93,0,4.61,FR,1612662761
Severo-Kuril'sk,50.6789,156.125,22.71,93,93,21.92,RU,1612662470
Kaeo,-35.1,173.7833,73.0,62,97,14.0,NZ,1612662578
Vestmanna,62.1564,-7.1664,33.8,75,75,18.41,FO,1612662478
Rio Grande,-32.035,-52.0986,66.99,96,0,9.75,BR,1612662744
General Pico,-35.6566,-63.7568,74.77,33,0,11.3,AR,1612662761
Wattegama,6.7989,81.4808,71.6,100,20,1.14,LK,1612662483
Islamkot,24.6997,70.177,58.03,33,0,8.21,PK,1612662762
Ganj Dundwāra,27.7333,78.95,49.64,68,0,8.57,IN,1612662762
Nanzhang,31.7765,111.8386,58.5,50,75,3.6,CN,1612662762
Itacoatiara,-3.1431,-58.4442,75.87,94,98,2.06,BR,1612662762
Belaya Gora,68.5333,146.4167,-29.76,82,0,0.63,RU,1612662762
Innisfail,-17.5333,146.0333,86.47,69,100,6.8,AU,1612662762
Władysławowo,54.7909,18.4009,7.0,92,0,3.44,PL,1612662762
Onega,63.9061,38.1404,-8.43,88,40,5.82,RU,1612662762
Berlevåg,70.8578,29.0864,26.74,94,100,25.59,NO,1612662708
Ponta do Sol,32.6667,-17.1,54.0,66,4,4.0,PT,1612662650
Blagoyevo,63.3667,47.9167,-23.62,83,80,10.38,RU,1612662763
Tabou,4.423,-7.3528,78.69,89,0,8.16,CI,1612662493
Richards Bay,-28.783,32.0377,72.79,86,31,8.9,ZA,1612662516
Taksimo,56.3444,114.8794,-9.4,79,29,0.25,RU,1612662763
Butaritari,3.0707,172.7902,80.98,81,71,20.78,KI,1612662763
Lábrea,-7.2586,-64.7981,75.38,96,100,2.77,BR,1612662763
Cairns,-16.9167,145.7667,89.01,74,100,5.75,AU,1612662756
Ust-Kuyga,70.0167,135.6,-27.47,82,100,4.7,RU,1612662496
Bluff,-46.6,168.3333,61.45,71,0,7.96,NZ,1612662445
Tilichiki,60.4667,166.1,18.03,88,100,17.92,RU,1612662764
Zyryanka,65.75,150.85,-12.44,85,0,9.08,RU,1612662764
Povenets,62.8487,34.8262,13.37,95,97,8.68,RU,1612662764
Pemangkat,1.1667,108.9667,81.14,80,52,4.07,ID,1612662764
Dunedin,-45.8742,170.5036,61.0,76,0,28.01,NZ,1612662498
Ledyard Center,41.4398,-72.0142,39.2,60,1,9.22,US,1612662575
Geraldton,-28.7667,114.6,73.4,78,75,23.02,AU,1612662481
Severo-Yeniseyskiy,60.3725,93.0408,21.27,97,93,10.25,RU,1612662765
Airai,-8.9266,125.4092,72.81,74,72,5.39,TL,1612662765
Iskateley,67.6803,53.1512,-24.36,85,99,12.44,RU,1612662490
Tete,-16.1564,33.5867,80.6,83,40,5.75,MZ,1612662765
Qarayeri,40.7886,46.3066,37.4,93,90,9.22,AZ,1612662765
Deer Lake,49.1667,-57.4316,33.8,80,75,24.16,CA,1612662765
Brae,60.3964,-1.353,33.8,60,90,17.27,GB,1612662766
Suba,10.8438,121.0102,80.31,82,49,22.79,PH,1612662766
Saint George,37.1041,-113.5841,57.2,17,1,11.5,US,1612662704
Luganville,-15.5333,167.1667,84.61,66,34,8.1,VU,1612662766
Te Anau,-45.4167,167.7167,75.9,38,0,5.68,NZ,1612662766
Dikson,73.5069,80.5464,-27.2,87,91,9.06,RU,1612662766
Tomatlán,19.9333,-105.25,67.59,91,0,2.77,MX,1612662546
Yar-Sale,66.8333,70.8333,-23.35,87,100,16.96,RU,1612662767
Ténenkou,14.4572,-4.9169,75.36,20,83,13.24,ML,1612662767
Bathsheba,13.2167,-59.5167,77.22,79,97,18.72,BB,1612662767
Cabedelo,-6.9811,-34.8339,78.8,83,20,4.61,BR,1612662510
Olafsvik,64.8945,-23.7142,33.49,84,24,16.08,IS,1612662516
Ilulissat,69.2167,-51.1,24.8,39,0,31.07,GL,1612662767
Colleyville,32.881,-97.155,48.99,71,75,10.36,US,1612662768
Bermeo,43.4209,-2.7215,45.0,93,75,2.3,ES,1612662768
Kahului,20.8947,-156.47,78.8,50,40,11.5,US,1612662768
Hanmer Springs,-42.5167,172.8167,81.86,29,0,5.32,NZ,1612662768
Hinton,53.4001,-117.5857,-0.4,55,100,8.05,CA,1612662768
Dakar,14.6937,-17.4441,62.6,72,46,16.11,SN,1612662673
Hasaki,35.7333,140.8333,57.0,50,20,5.75,JP,1612662768
Narsaq,60.9167,-46.05,22.68,81,100,3.83,GL,1612662479
Waipawa,-41.4122,175.5153,75.99,63,89,8.05,NZ,1612662740
Dingle,10.9995,122.6711,81.48,81,79,15.01,PH,1612662768
Ovalle,-30.5983,-71.2003,57.25,75,0,1.86,CL,1612662769
Tungor,53.3808,142.9564,2.57,93,100,8.57,RU,1612662769
Hofn,64.2539,-15.2082,32.36,92,91,19.08,IS,1612662480
Emerald,-23.5333,148.1667,98.01,46,75,5.75,AU,1612662769
Belyy Yar,53.6039,91.3903,3.2,85,20,2.24,RU,1612662712
Tiksi,71.6872,128.8694,-25.76,84,100,5.35,RU,1612662769
Iqaluit,63.7506,-68.5145,26.6,68,90,11.5,CA,1612662479
Severodvinsk,64.5635,39.8302,-7.6,84,75,2.24,RU,1612662770
Provideniya,64.3833,-173.3,1.45,87,2,7.23,RU,1612662654
Bauchi,10.5,10.0,63.37,28,100,3.74,NG,1612662770
Katsuura,35.1333,140.3,55.0,66,20,5.75,JP,1612662662
Tarnogskiy Gorodok,60.4997,43.5761,-8.73,89,100,9.53,RU,1612662770
Prainha,-1.8,-53.48,77.31,78,19,3.71,BR,1612662770
Powassan,46.0334,-79.3496,17.01,79,90,11.5,CA,1612662770
Batagay-Alyta,67.8006,130.4114,-23.49,84,100,1.92,RU,1612662545
Cidreira,-30.1811,-50.2056,67.48,77,10,5.3,BR,1612662770
West Point,33.6076,-88.6503,42.8,93,90,8.05,US,1612662741
Turukhansk,65.8167,87.9833,-5.21,88,98,9.44,RU,1612662738
Khatanga,71.9667,102.5,-35.28,78,0,8.55,RU,1612662771
Sawtell,-30.3833,153.1,82.0,74,100,6.91,AU,1612662771
Mēga,4.05,38.3,58.48,68,45,4.59,ET,1612662771
Arman',59.7,150.1667,13.39,86,100,17.13,RU,1612662700
Slave Lake,55.2834,-114.769,-23.8,76,1,2.3,CA,1612662771
Marzuq,14.4,46.4667,55.47,71,0,1.7,YE,1612662517
Tsiroanomandidy,-18.7667,46.0333,67.33,96,100,2.26,MG,1612662771
Newport,51.5877,-2.9984,41.0,89,100,20.6,GB,1612662360
Kavieng,-2.5744,150.7967,85.33,64,29,2.33,PG,1612662474
Nizhniy Kuranakh,58.8353,125.4869,-14.84,84,97,0.78,RU,1612662772
Talnakh,69.4865,88.3972,-30.03,73,0,1.54,RU,1612662772
Lappeenranta,61.0587,28.1887,12.0,84,65,10.02,FI,1612662772
Athabasca,54.7169,-113.2854,-22.0,76,100,2.3,CA,1612662772
Vardø,70.3705,31.1107,26.91,92,100,29.37,NO,1612662772
Menongue,-14.6585,17.691,65.3,93,100,5.64,AO,1612662507
Meulaboh,4.1363,96.1285,79.41,83,80,4.5,ID,1612662772
São Félix do Xingu,-6.6447,-51.995,72.59,94,99,1.34,BR,1612662663
Aklavik,68.2191,-135.0107,-16.6,76,100,4.61,CA,1612662773
Iaçu,-12.7672,-40.2117,73.36,90,93,4.54,BR,1612662773
Bambous Virieux,-20.3428,57.7575,75.0,86,3,1.99,MU,1612662773
Maniwaki,46.3834,-75.966,15.8,62,60,5.75,CA,1612662773
Westport,41.1415,-73.3579,39.2,45,1,4.61,US,1612662773
Port Lincoln,-34.7333,135.8667,62.55,67,99,12.08,AU,1612662773
Alihe,50.5667,123.7167,-4.58,81,0,3.29,CN,1612662773
Uruçuí,-7.2294,-44.5561,74.37,82,100,3.49,BR,1612662773
Karratha,-20.7377,116.8463,83.03,48,0,9.19,AU,1612662774
Isangel,-19.55,169.2667,86.0,79,20,5.75,VU,1612662774
Guerrero Negro,27.9769,-114.0611,63.61,54,0,9.46,MX,1612662774
Xichang,27.8964,102.2634,49.78,48,0,2.71,CN,1612662774
Palāsa,18.7667,84.4167,69.1,52,42,4.21,IN,1612662774
Mayo,38.8876,-76.5119,42.8,56,1,3.85,US,1612662689
Post Falls,47.718,-116.9516,39.99,93,90,4.47,US,1612662774
Coquimbo,-29.9533,-71.3436,60.8,82,0,6.91,CL,1612662774
Port Blair,11.6667,92.75,80.98,70,0,9.84,IN,1612662774
Jilib,0.4883,42.7854,70.21,96,3,4.27,SO,1612662775
